Location,lights300,ghm,pm25,ndbi,roads,roofs,Impee,precip
KICCOMS8D_OUT,0.07211,0.592,0.266666667,0.758,0.665,0.106,0.771,0.824
KICHDRS8D_OUT,0.07211,0.61,0.272333333,0.488,0.215,0.185,0.4,0.824
KICLDRS8D_OUT,0.289103333,0.63,0.266666667,0.56,0.171,0.161,0.332,0.745
PIECOMM_OUT,0.265583333,0.797,0.510666667,0.706,0.468,0.24,0.707,0.71
PIEHIRES_OUT,0.30746,0.719,0.277666667,0.452,0.103,0.114,0.217,0.714
PIELORES_OUT,0.10294,0.553,0.415333333,0.164,0.038,0.026,0.064,0.752
POSOUTFALL_6040,0.365483333,0.767,0.926333333,0.838,0.845,0.041,0.886,0.607
POSOUTFALL_6041,0.365483333,0.767,0.926333333,0.838,0.845,0.041,0.886,0.607
POSOUTFALL_6048,0.365483333,0.767,0.926333333,0.838,0.845,0.041,0.886,0.607
POSOUTFALL_6051,0.365483333,0.767,0.926333333,0.838,0.845,0.041,0.886,0.607
POSOUTFALL_6052,0.365483333,0.767,0.926333333,0.838,0.845,0.041,0.886,0.607
POSOUTFALL_6056,0.365483333,0.767,0.926333333,0.838,0.845,0.041,0.886,0.607
POSOUTFALL_6057,0.365483333,0.767,0.926333333,0.838,0.845,0.041,0.886,0.607
POSOUTFALL_6061,0.365483333,0.767,0.926333333,0.838,0.845,0.041,0.886,0.607
POSOUTFALL_6065,0.365483333,0.767,0.926333333,0.838,0.845,0.041,0.886,0.607
POT564S8D_OUT,0.945576667,0.776,0.9,0.772,0.758,0.051,0.809,0.642
SEAC1S8D_OUT,0.658123333,0.912,0.887,0.744,0.387,0.37,0.758,0.588
SEAI1S8D_OUT,0.543866667,0.843,0.774333333,0.524,0.265,0.129,0.395,0.603
SEAR1S8D_OUT,0.462026667,0.872,0.797,0.586,0.228,0.216,0.443,0.626
SNO_COM,0.324416667,0.863,0.381,0.662,0.355,0.262,0.617,0.599
SNO_HDR,0.24831,0.817,0.3,0.598,0.219,0.225,0.444,0.663
SNO_LDR,0.098563333,0.598,0.213333333,0.478,0.171,0.095,0.267,0.73
TAC003S8D_OF245,0.736156667,0.913,0.751333333,0.746,0.534,0.139,0.673,0.654
TFWFD1,0.496876667,0.871,0.537,0.632,0.271,0.156,0.428,0.652
TFWFD6,0.897253333,0.937,0.788666667,0.774,0.543,0.182,0.725,0.682
