Location,Y,X
SNO_HDR,0.920873263,0.874581011
KICHDRS8D_OUT,0.817015939,0.925800794
KICCOMS8D_OUT,0.81776396,0.926910107
KICLDRS8D_OUT,0.798431624,0.881663841
SEAC1S8D_OUT,0.851485863,0.852301441
POSOUTFALL_6057,0.861290699,0.836287976
SEAR1S8D_OUT,0.874427048,0.844277841
SEAI1S8D_OUT,0.798771097,0.8570755
SNO_COM,0.933891271,0.866879246
SNO_LDR,0.928732703,0.891306321
PIELORES_OUT,0.73197463,0.791607334
PIECOMM_OUT,0.669599293,0.842314228
PIEHIRES_OUT,0.663355239,0.848301371
TFWFD1,0.701484789,0.829058774
TAC001S8D_OF235,0.702419303,0.828693379
TAC003S8D_OF245,0.703235422,0.829226759
POT564S8D_OUT,0.71051901,0.832680024
LDR010,0.161251896,0.773778246
GM34921,0.134342456,0.777136625
MH5171,0.142225111,0.76869148
